aha_mont64,166280,12428,1000,990,1496,44259
crc32,166280,8428,750,740,1152,41476
cubic,166280,58276,900,850,1944,89421
edn,166280,14252,1170,1160,1412,49204
huffbench,166280,43012,1270,1260,1412,83280
matmult_int,166280,12812,900,890,1412,54258
md5sum,166280,41428,870,860,1412,76360
minver,166280,13372,260,250,1412,44504
nbody,166280,16692,30,10,1412,45377
nettle_aes,166280,27468,2000,1990,1412,70029
nettle_sha256,166280,21876,970,970,1528,53379
nsichneu,166280,24156,550,540,1152,56224
picojpeg,166280,31124,1230,1230,1608,64194
primecount,166280,7380,230,220,1152,39340
qrduino,166280,59068,930,920,1480,99187
sglib_combined,166280,48460,1460,1450,1688,88696
slre,166280,13988,1360,1350,2076,45643
statemate,166280,11884,430,430,1412,43926
st,166280,13212,530,510,1424,44422
tarfind,166280,40508,440,430,1412,80936
ud,166280,9708,820,810,1412,43227
wikisort,166280,46420,1530,1510,3000,83611
