aha_mont64,166280,24580,1020,1020,1440,96291
crc32,166280,21260,880,870,1412,93172
cubic,166280,72036,910,860,1912,133853
edn,166280,27716,1240,1240,1412,99356
huffbench,166280,56964,1280,1270,1412,125224
matmult_int,166280,26292,970,970,1412,98030
md5sum,166280,55044,760,750,1412,123588
minver,166280,26316,270,260,1412,97020
nbody,166280,30100,30,10,1576,98049
nettle_aes,166280,41020,1760,1750,1412,112049
nettle_sha256,166280,34780,970,960,1480,105619
nsichneu,166280,36788,550,540,1152,108660
picojpeg,166280,42876,1860,1850,1568,112458
primecount,166280,20228,230,220,1152,92092
qrduino,166280,71836,990,980,1412,139551
sglib_combined,166280,62804,1530,1520,1656,130756
slre,166280,27028,1250,1240,1972,98463
st,166280,23972,530,520,1656,94262
statemate,166280,24980,540,530,1412,96674
tarfind,166280,53692,410,400,1156,122340
ud,166280,23356,880,880,1412,95007
wikisort,166280,77476,1890,1880,3100,148107
