aha_mont64,141888,14580,2940,2800,1248,99965
crc32,141888,14364,3630,3520,1204,97131
edn,141888,16916,2470,2310,1248,104679
huffbench,141888,17612,2040,1870,1248,106964
matmult_int,141888,14924,1820,1680,1240,100990
md5sum,141888,16364,1450,1290,1248,103774
nettle_aes,141888,26292,1970,1810,1248,104887
nettle_sha256,141888,19460,1710,1500,1240,114453
nsichneu,141888,41732,2220,1830,1248,152761
picojpeg,141888,28412,2400,2090,1248,132920
qrduino,141888,29260,2240,1940,1248,135607
sglib_combined,141888,19372,2350,2170,1248,112179
slre,141888,17364,2060,1890,1248,108194
statemate,141888,21148,2070,1890,1248,111008
tarfind,141888,14164,1070,940,1248,99367
ud,141888,14148,1870,1740,1248,98655
wikisort,141888,23316,1610,1360,1248,123491
depthconv,141888,13860,2600,2480,1248,97048
xgboost,141888,53268,1970,1850,1248,97779
