aha_mont64,141888,6236,2830,2800,1204,39694
crc32,141888,6028,3520,3510,1204,37883
edn,141888,8580,2360,2310,1204,46808
huffbench,141888,9276,1940,1870,1216,55940
matmult_int,141888,6580,1720,1680,1204,48703
md5sum,141888,8036,1340,1300,1248,47150
nettle_aes,141888,17948,1860,1810,1204,55640
nettle_sha256,141888,11116,1600,1500,1248,54654
nsichneu,141888,33388,2120,1830,1240,92570
picojpeg,141888,20076,2290,2090,1248,75913
qrduino,141888,20924,2130,1930,1216,85079
sglib_combined,141888,11036,2250,2160,1248,61011
slre,141888,9020,1960,1890,1248,48051
statemate,141888,12804,1960,1880,1248,50977
tarfind,141888,5828,960,940,1204,48119
ud,141888,5804,1770,1740,1204,40144
wikisort,141888,14972,1500,1360,1248,66483
depthconv,141888,5524,2500,2490,1204,37320
xgboost,141888,44924,1870,1850,1204,77108
