aha_mont64,175784,14148,110,100,1452,44465
crc32,175784,10644,190,190,1104,42010
depthconv,175784,9908,90,80,1096,40958
edn,175784,16116,120,110,1452,48663
huffbench,175784,15516,150,140,1452,54590
matmult_int,175784,12876,70,70,1176,51314
md5sum,175784,14036,80,70,1452,47638
nettle_aes,175784,24260,210,200,1168,65552
nettle_sha256,175784,19140,120,110,1452,49322
nsichneu,175784,25044,50,50,1092,55727
picojpeg,175784,34900,130,120,1452,65860
qrduino,175784,32484,90,80,1452,70849
sglib_combined,175784,19764,180,160,1512,58239
slre,175784,16708,180,170,1856,46225
statemate,175784,13916,90,80,1168,44170
tarfind,175784,11324,70,60,1168,50505
ud,175784,10628,110,100,1176,42756
wikisort,175784,59908,550,540,1476,91544
xgboost,175784,49476,130,120,1168,119563
